date,title,category,image,summary
2017-02-15,"Minjoo Hwang, DGIST ICE Student Conference, Outstanding Speech Award, 2017",Award,images/blog/award/minjoo-hwang-dgist-ice-speech-2017.jpg,Minjoo Hwang received an Outstanding Speech Award at the 2017 DGIST ICE Student Conference.
2017-02-14,"Jihun Kim, DGIST ICE Student Conference, Outstanding Speech Award, 2017",Award,images/blog/award/jihun-kim-dgist-ice-speech-2017.jpg,Jihun Kim received an Outstanding Speech Award at the 2017 DGIST ICE Student Conference.
2017-02-14,"Sangyeon Youn, DGIST ICE Student Conference, Outstanding Speech Award, 2017",Award,images/blog/award/sangyeon-youn-dgist-ice-speech-2017.jpg,Sangyeon Youn received an Outstanding Speech Award at the 2017 DGIST ICE Student Conference.
2016-09-29,"Sewoong Kim, Korean Society of Medical & Biological Engineering, Excellent Presentation Award, 2016",Award,images/blog/award/sewoong-kim-kosombe-2016-fall.jpg,Sewoong Kim received an excellent presentation award from the Korean Society of Medical & Biological Engineering.
2016-05-14,"Manjae Kim, The Korean Society of Medical & Biological Engineering, Excellent Presentation Award, 2016",Award,images/blog/award/manjae-kim-kosombe-2016-spring.jpg,Manjae Kim received an excellent presentation award from the Korean Society of Medical & Biological Engineering.
2016-05-13,"Jihun Kim, The Acoustical Society of Korea, Best Paper Presentation Award, 2016",Award,images/blog/award/jihun-kim-acoustical-society-2016.jpg,Jihun Kim received a best paper presentation award from the Acoustical Society of Korea.
2015-11-14,"Jihun Kim, The Acoustical Society of Korea, Excellent Presentation Award, 2015",Award,images/blog/award/jihun-kim-acoustical-society-2015-fall.jpg,Jihun Kim received an excellent presentation award from the Acoustical Society of Korea.
2015-08-31,"Jihun Kim, DGIST ICE Student Conference, Paper Award, 2015",Award,images/blog/award/jihun-kim-dgist-ice-paper-2015.jpg,Jihun Kim received an award at the DGIST ICE Student Conference.
2015-05-11,"Jin Man Park, The Korean Society of Medical & Biological Engineering, Excellent Presentation Award, 2015",Award,images/blog/award/jin-man-park-kosombe-2015.jpg,Jin Man Park received an excellent presentation award from the Korean Society of Medical & Biological Engineering.
2015-05-11,"Sewoong Kim, The Korean Society of Medical & Biological Engineering, Excellent Presentation Award, 2015",Award,images/blog/award/sewoong-kim-kosombe-2015.jpg,Sewoong Kim received an excellent presentation award from the Korean Society of Medical & Biological Engineering.
